year,price,engine_size,mileage,Diesel,Hybrid,otherFuel,Petrol,Automatic,Manual,otherTransmission,Semi-Auto
2014,12900,160.0,44.8,0,0,0,1,1,0,0,0
2018,26000,150.0,46.3,0,0,0,1,1,0,0,0
2017,22767,2.1,30676.0,1,0,0,0,1,0,0,0
2015,12000,2.1,40005.0,1,0,0,0,1,0,0,0
2017,18999,0.0,134.5,0,1,0,0,1,0,0,0
2016,14000,2.1,45000.0,1,0,0,0,1,0,0,0
2015,12000,2.1,40005.0,1,0,0,0,1,0,0,0
2009,4343,205.0,45.6,1,0,0,0,1,0,0,0
2016,16500,30.0,64.2,1,0,0,0,1,0,0,0
2019,27750,145.0,56.5,1,0,0,0,1,0,0,0
2019,28950,145.0,54.3,1,0,0,0,1,0,0,0
2007,3495,300.0,33.6,0,0,0,1,1,0,0,0
2017,59740,4.0,21800.0,0,0,0,1,1,0,0,0
2019,44990,145.0,28.5,0,0,0,1,1,0,0,0
2019,54990,150.0,28.5,0,0,0,1,1,0,0,0
2015,15995,20.0,64.2,1,0,0,0,1,0,0,0
2016,14000,2.1,45000.0,1,0,0,0,1,0,0,0
2015,12000,2.1,40005.0,1,0,0,0,1,0,0,0
2017,22767,2.1,30676.0,1,0,0,0,1,0,0,0
2014,12998,20.0,64.2,1,0,0,0,0,0,0,1
2017,17998,145.0,64.2,1,0,0,0,0,0,0,1
2019,28998,145.0,48.7,0,0,0,1,0,1,0,0
2017,24998,160.0,43.5,0,0,0,1,0,0,0,1
2016,19498,30.0,61.4,1,0,0,0,0,0,0,1
2018,23498,145.0,67.3,1,0,0,0,0,0,0,1
2019,25498,145.0,60.1,1,0,0,0,0,0,0,1
2019,24998,145.0,55.4,1,0,0,0,0,0,0,1
2016,18498,0.0,134.5,0,1,0,0,0,0,0,1
2014,15498,30.0,64.2,1,0,0,0,0,0,0,1
2017,20995,145.0,58.9,1,0,0,0,0,0,0,1
2018,31995,150.0,36.2,0,0,0,1,0,0,0,1
2017,23995,30.0,65.7,1,0,0,0,0,0,0,1
2014,16995,30.0,64.2,1,0,0,0,1,0,0,0
2017,24995,145.0,47.1,0,0,0,1,1,0,0,0
2014,26998,570.0,23.5,0,0,0,1,0,0,0,1
2016,20498,125.0,60.1,1,0,0,0,0,0,0,1
2018,27498,145.0,57.7,1,0,0,0,0,0,0,1
2016,16998,30.0,65.7,1,0,0,0,0,0,0,1
2018,27498,145.0,65.7,1,0,0,0,0,0,0,1
2019,27698,145.0,55.4,1,0,0,0,0,0,0,1
2016,27498,260.0,35.8,0,0,0,1,0,0,0,1
2019,32498,145.0,61.4,1,0,0,0,0,0,0,1
2019,24498,145.0,61.4,1,0,0,0,0,0,0,1
2017,21498,30.0,64.2,1,0,0,0,0,0,0,1
2017,18998,30.0,64.2,1,0,0,0,0,0,0,1
2014,15998,30.0,64.2,1,0,0,0,0,0,0,1
2013,9298,145.0,54.3,1,0,0,0,0,0,0,1
2018,22998,150.0,60.1,1,0,0,0,0,0,0,1
2016,12998,20.0,70.6,1,0,0,0,0,1,0,0
2016,22998,30.0,65.7,1,0,0,0,0,0,0,1
2016,17998,20.0,68.9,1,0,0,0,0,1,0,0
2019,28498,145.0,61.4,1,0,0,0,0,0,0,1
2016,18998,30.0,64.2,1,0,0,0,0,0,0,1
2017,20998,145.0,60.1,1,0,0,0,0,0,0,1
2016,21998,30.0,65.7,1,0,0,0,0,0,0,1
2015,13998,20.0,72.4,1,0,0,0,0,1,0,0
2019,24498,145.0,61.4,1,0,0,0,0,0,0,1
2017,20998,2.1,74.3,0,1,0,0,0,0,0,1
2019,30498,145.0,57.7,1,0,0,0,0,0,0,1
2016,19498,30.0,64.2,1,0,0,0,0,0,0,1
2014,15298,30.0,64.2,1,0,0,0,0,0,0,1
2019,33998,145.0,44.1,0,0,0,1,0,0,0,1
2019,32998,145.0,46.3,0,0,0,1,0,0,0,1
2016,16498,20.0,64.2,1,0,0,0,0,0,0,1
2016,15498,30.0,61.4,1,0,0,0,0,0,0,1
2014,15498,20.0,64.2,1,0,0,0,0,0,0,1
2017,18998,145.0,61.4,1,0,0,0,0,0,0,1
2019,24495,145.0,61.4,1,0,0,0,0,0,0,1
2016,18990,20.0,64.2,1,0,0,0,0,0,0,1
2014,10995,20.0,68.9,1,0,0,0,0,1,0,0
2014,15698,30.0,64.2,1,0,0,0,0,0,0,1
2019,22498,145.0,46.3,0,0,0,1,0,0,0,1
2016,19298,30.0,64.2,1,0,0,0,0,0,0,1
2017,16498,2.0,134.5,0,1,0,0,0,0,0,1
