,year,price,engine_size,mileage,Diesel,Hybrid,otherFuel,Petrol,Automatic,Manual,otherTransmission,Semi-Auto
98,2018,31995,150.0,36.2,0,0,0,1,0,0,0,1
99,2017,23995,30.0,65.7,1,0,0,0,0,0,0,1
100,2014,16995,30.0,64.2,1,0,0,0,1,0,0,0
101,2017,24995,145.0,47.1,0,0,0,1,1,0,0,0
102,2014,26998,570.0,23.5,0,0,0,1,0,0,0,1
103,2016,20498,125.0,60.1,1,0,0,0,0,0,0,1
104,2018,27498,145.0,57.7,1,0,0,0,0,0,0,1
105,2016,16998,30.0,65.7,1,0,0,0,0,0,0,1
106,2018,27498,145.0,65.7,1,0,0,0,0,0,0,1
107,2019,27698,145.0,55.4,1,0,0,0,0,0,0,1
108,2016,27498,260.0,35.8,0,0,0,1,0,0,0,1
109,2019,32498,145.0,61.4,1,0,0,0,0,0,0,1
110,2019,24498,145.0,61.4,1,0,0,0,0,0,0,1
111,2017,21498,30.0,64.2,1,0,0,0,0,0,0,1
112,2017,18998,30.0,64.2,1,0,0,0,0,0,0,1
113,2014,15998,30.0,64.2,1,0,0,0,0,0,0,1
114,2013,9298,145.0,54.3,1,0,0,0,0,0,0,1
115,2018,22998,150.0,60.1,1,0,0,0,0,0,0,1
116,2016,12998,20.0,70.6,1,0,0,0,0,1,0,0
117,2016,22998,30.0,65.7,1,0,0,0,0,0,0,1
118,2016,17998,20.0,68.9,1,0,0,0,0,1,0,0
119,2019,28498,145.0,61.4,1,0,0,0,0,0,0,1
120,2016,18998,30.0,64.2,1,0,0,0,0,0,0,1
121,2017,20998,145.0,60.1,1,0,0,0,0,0,0,1
122,2016,21998,30.0,65.7,1,0,0,0,0,0,0,1
123,2015,13998,20.0,72.4,1,0,0,0,0,1,0,0
124,2019,24498,145.0,61.4,1,0,0,0,0,0,0,1
125,2017,20998,2.1,74.3,0,1,0,0,0,0,0,1
126,2019,30498,145.0,57.7,1,0,0,0,0,0,0,1
127,2016,19498,30.0,64.2,1,0,0,0,0,0,0,1
128,2014,15298,30.0,64.2,1,0,0,0,0,0,0,1
129,2019,33998,145.0,44.1,0,0,0,1,0,0,0,1
130,2019,32998,145.0,46.3,0,0,0,1,0,0,0,1
131,2016,16498,20.0,64.2,1,0,0,0,0,0,0,1
132,2016,15498,30.0,61.4,1,0,0,0,0,0,0,1
133,2014,15498,20.0,64.2,1,0,0,0,0,0,0,1
134,2017,18998,145.0,61.4,1,0,0,0,0,0,0,1
135,2019,24495,145.0,61.4,1,0,0,0,0,0,0,1
136,2016,18990,20.0,64.2,1,0,0,0,0,0,0,1
137,2014,10995,20.0,68.9,1,0,0,0,0,1,0,0
138,2014,15698,30.0,64.2,1,0,0,0,0,0,0,1
139,2019,22498,145.0,46.3,0,0,0,1,0,0,0,1
140,2016,19298,30.0,64.2,1,0,0,0,0,0,0,1
141,2017,16498,2.0,134.5,0,1,0,0,0,0,0,1
142,2018,19998,145.0,46.3,0,0,0,1,0,0,0,1
143,2018,20685,145.0,64.2,1,0,0,0,0,0,0,1
144,2018,20489,145.0,61.4,1,0,0,0,0,0,0,1
145,2017,13800,145.0,70.6,1,0,0,0,0,1,0,0
146,2019,31998,145.0,42.2,0,0,0,1,0,0,0,1
147,2019,29998,145.0,44.1,0,0,0,1,0,0,0,1
148,2019,24998,145.0,44.1,0,0,0,1,0,0,0,1
149,2019,32998,145.0,42.2,0,0,0,1,0,0,0,1
150,2019,32998,145.0,42.2,0,0,0,1,0,0,0,1
151,2019,29998,145.0,43.5,0,0,0,1,0,0,0,1
152,2017,23998,20.0,67.3,1,0,0,0,0,0,0,1
153,2016,20998,0.0,122.8,0,1,0,0,0,0,0,1
154,2017,16498,150.0,58.9,1,0,0,0,1,0,0,0
155,2013,11998,145.0,53.3,1,0,0,0,0,0,0,1
156,2015,12495,30.0,64.2,1,0,0,0,1,0,0,0
157,2019,19298,145.0,46.3,0,0,0,1,1,0,0,0
158,2019,23998,145.0,61.4,1,0,0,0,0,0,0,1
159,2015,12495,20.0,65.7,1,0,0,0,0,0,0,1
160,2015,17498,0.0,76.4,0,1,0,0,0,0,0,1
161,2016,16198,20.0,68.9,1,0,0,0,0,1,0,0
162,2017,18498,30.0,64.2,1,0,0,0,0,0,0,1
